uuid,category_label,joint_count,bone_count,pred_joints,vertex_count,face_count,j2j,j2b,b2b,iou,precision,recall
2159210401d948a6a1244a9b238b368e,"character, anthropomorphic",52,51,51,129193,241111,0.011296015232801437,0.008957360541292777,0.09638926386833191,0.4069303835911914,0.4625099168184584,0.5633022010492549
2330d6dddc0d4a2b9fa9a644d249b766,"animal, anthropomorphic",34,33,34,13804,14749,0.016738520935177803,0.01191272069905501,0.06696481257677078,0.4862058721189211,0.6843386157863539,0.672519744847424
235b252e590e4be68584f8c39f4e046a,"character, weapon",52,51,52,22532,39436,0.01684468239545822,0.010718681674916297,0.12276655435562134,0.278803802888604,0.3221547739235015,0.42085075173816716
274085fb5c0e454e86570653349e4d95,"character, anthropomorphic",52,51,52,15251,22328,0.016540290787816048,0.010644349529264638,0.10543271899223328,0.3257853928465711,0.37377304289857405,0.4643107293765697
2a4705f2fcfc43498e0404d7d6967426,character,52,51,52,14387,26069,0.007495423313230276,0.005810163014057952,0.14166688919067383,0.43901990537475155,0.49126579072476306,0.5554859689240459
2aaadc73e9d844dcb89e99db289ce2be,"character, anthropomorphic",52,51,47,12021,16904,0.01839696802198887,0.010142559235162557,0.09402360022068024,0.3293106739454584,0.38965047150483745,0.4304874440977535
2d076baaf0d8414085494ae5276b5657,character,46,45,46,19245,27500,0.013015972450375557,0.007901291681818016,0.1174778938293457,0.29047874089401615,0.3890193199706222,0.41837685207088443
302fa991d870416da008dddbfe3c11dd,character,34,33,51,18569,30017,0.013431777246296406,0.012624336360935486,0.12684528529644012,0.4831162074060513,0.5329141565578954,0.6145983017349478
31c845d807a54d488d953dc67bdd3221,character,42,41,42,16535,29612,0.008953509852290154,0.008149440637290744,0.11175508797168732,0.47222294958228117,0.5802468360908416,0.5943401064987961
32623191dc3f470b918f8bc59b09c134,animal,12,11,14,2456,1036,0.06261049956083298,0.04733427866761174,0.04665033519268036,0.3261539449582076,0.49662112140744136,0.43770707324677094
34d22c0fbf7e4d0b8c54e59b4ff3103a,anthropomorphic,28,27,22,2636,3166,0.01848035678267479,0.016758304159421557,0.062037594616413116,0.2696831306293232,0.30636605206170503,0.5156043600291086
3739dbe36abf42fa9ee63e5346ae4b2d,"character, toy",52,51,50,4901,5614,0.01656164787709713,0.00891963250702247,0.13396379351615906,0.2401827018464118,0.3089588466579927,0.3314746796126543
389cce420aed4b16a418681a10cb94e6,"character, anthropomorphic",64,63,52,12849,14363,0.021373268216848373,0.013068622409124285,0.0787215530872345,0.2540552224553835,0.32732993175716335,0.3866996614153851
3b80b35de31d4dce9c75fe73d29eed10,animal,57,56,49,3469,5500,0.03176923096179962,0.02045608859637524,0.11554870009422302,0.19629958194008684,0.277477744777425,0.35181623336913515
44f913a3fb224c92a8be5f30377db4e9,character,52,51,51,18674,31696,0.008432825095951557,0.006127816329335831,0.12582111358642578,0.38528271401820996,0.43470032934019154,0.503835106054451
450e29de3c1541d78943e3265012ee48,character,31,30,31,26765,44198,0.010908314026892185,0.010295664362098661,0.07833031564950943,0.5669490623683403,0.6608848099266126,0.6898247787471339
4693f79f291d4a428fd0cf8eca9dbba1,character,52,51,51,39115,51758,0.01224470417946577,0.009224544510966642,0.12514513731002808,0.3775638320517865,0.4199789604227086,0.507441359458449
48adabfcb7e141159a6f83bf08dc3ea7,"mythical creature, weapon",29,28,28,4266,3772,0.11038363724946976,0.04049118621540921,0.09764210134744644,0.32747294629631557,0.39989726126974884,0.5327579113706647
4ca21db58038457bb7c83a87216736f6,"toy, anthropomorphic",28,27,5,13223,24076,0.08159512281417847,0.08123713098466397,0.11517121642827988,0.0315157015880484,0.05093127688873841,0.11504201081588905
4d3be60878a947ec8d5ecbfdf7bdab7b,"humanoid, sculpture",22,21,18,6419,6975,0.051619529724121094,0.03148662910744962,0.06323673576116562,0.3153781083390286,0.48383493514975723,0.48984793566478757
4d81315d9cd048a7979ef0eb8bf4d18b,"toy, animal",33,32,31,5375,8352,0.05558380112051964,0.02507845762621371,0.082221619784832,0.349572310115269,0.4616797363752446,0.4954632380660497
4de4ddecd15545cfa8997c1d809d94eb,toy,22,21,22,19292,32176,0.0227609034627676,0.014396955952344631,0.051229171454906464,0.45903119972675677,0.6150227057245119,0.616860851006971
528751c7bce94a068f1c5fcb234429d2,"character, anthropomorphic",34,33,34,7836,12428,0.011208469048142433,0.009374498334877631,0.11035613715648651,0.5084122045516889,0.5952140005895656,0.6177979208444072
53383e9b798b4268adb667955f7b5775,"character, mythical creature",24,23,24,2102,1080,0.01762329787015915,0.012631411741798123,0.07401399314403534,0.3665509300681976,0.5245977054837659,0.4993207567720447
5748a940ec044cd68b689418d75ce287,character,28,27,28,184320,92160,0.03417419269680977,0.011236920593156745,0.08812990039587021,0.5020916820545062,0.6410044325841721,0.6153043069298697
57ba937e9a4649e2b07180564f639506,"character, anthropomorphic",44,43,43,9363,10728,0.045883387327194214,0.014595900759707356,0.10155948251485825,0.26773053964198135,0.38321233464563603,0.379280394058692
